Cluster,CPP Distance,CPP Log(Age),CPP Metallicity,CPP E(B-V),Av
Collinder 106,1.525,7.069590623,0.105,0.326290323,1.0115
IC 2944,2.565,6.6,0.335,0.4285,1.32835
IC 4756,0.485,8.962121255,0.065,0.17983871,0.5575
Lynga 2,0.95,8.002611958,-0.14,0.321290323,0.996
NGC 1817,1.785,9.035696343,0.165,0.163333333,0.506333333
NGC 1960,1.1275,7.345,-0.07,0.275,0.8525
NGC 2099,1.41,8.615,-0.21,0.325,1.0075
NGC 2158,4.465,9.37,-0.025,0.35,1.085
NGC 2264,0.65,6.75,-0.225,0.08,0.248
NGC 2345,2.99,7.62,0.255,0.74,2.294
NGC 6025,0.855,8.475,0.355,0.085,0.2635
NGC 6475,0.29,8.38,0.18,0.05,0.155
Collinder 110,2.254,9.24,-0.49,0.52,1.612
IC 1805,2.16,7.42,0.7,0.49,1.519
IC 4499,18.8,9.82,-1.9,0.27,0.837
IC 4651,1.11,8.6,-1.25,0.61,1.891
IC 5146,0.89,6.6,0.39,0.8,2.48
M45,0.13,8,0,0.01,0.031
NGC 104,5.58,10,-2.2,0.18,0.558
NGC 1245,3.25,9.07,-0.05,0.23,0.713
NGC 1528,0.98,8.67,-0.42,0.32,0.992
NGC 1746,0.8,7.97,-0.25,0.41,1.271
NGC 188,2.21,9.43,-0.34,0.19,0.589
NGC 1912,1.05,8.35,-0.62,0.34,1.054
NGC 1931,2.51,6.85,0.67,0.61,1.891
NGC 2168,0.85,8.57,-0.16,0.16,0.496
NGC 2269,2.45,7.9,-0.24,0.54,1.674
NGC 2298,10.81,10.1,-2.2,0.21,0.651
NGC 2323,0.86,8.07,-0.36,0.25,0.775
NGC 2360,1.54,8.81,0.52,0.13,0.403
NGC 2422,0.475,8.18,0.12,0.08,0.248
NGC 2447,0.992,8.795,-0.275,0.06,0.186
NGC 2453,4.19,7.50,-0.42,0.57,1.767
NGC 2509,2.48,9.19,-0.06,0.11,0.3286
NGC 2516,0.36,8.74,-0.59,0.14,0.434
NGC 2546,0.92,8.11,-0.39,0.19,0.589
NGC 2632,5.38,8.90,-0.70,0.21,0.651
NGC 2682,0.8635,9.525,-0.45,0.11,0.341
NGC 3766,1.49,7.7,-0.85,0.24,0.744
NGC 4755,1.65,6.96,-1.36,0.51,1.581
NGC 5634,20.89,10.2,-1.88,0.09,0.279
NGC 5822,0.83,9.08,0.02,0.09,0.279
NGC 6139,12.45,10.2,-2.08,0.75,2.325
NGC 6229,32.28,10.06,-2.2,0.07,0.217
NGC 6231,1.45,7.09,0.2,0.48,1.488
NGC 6235,12.34,10.05,-1.94,0.38,1.178
NGC 6242,1.25,7.55,-0.68,0.48,1.488
NGC 6325,7.8,10.1,-1.3,0.95,2.945
NGC 6352,5.6,10.05,-0.65,0.28,0.868
NGC 6401,9.9,10.04,-2.2,0.88,2.728
NGC 6440,8.93,10.2,-0.3,0.94,2.914
NGC 6441,15.21,10.2,-0.25,0.32,0.992
NGC 6496,11.3,10.05,-0.55,0.19,0.589
NGC 6583,2.84,8.71,0.7,0.68,2.108
NGC 6717,7.1,10.2,-1.05,0.37,1.147
NGC 6939,1.69,9.44,-0.45,0.29,0.899
NGC 7082,1.58,7.93,-0.02,0.3,0.93
NGC 7243,0.98,8.14,-0.02,0.2,0.62
NGC 7492,26.3,9.92,-1.81,0.06,0.186
NGC 7654,1.29,7.83,-0.99,0.72,2.232
NGC 7789,1.93,9.26,-0.53,0.37,1.147
NGC 869,2.57,7.58,0.11,0.38,1.178
NGC 957,2.35,7.5,0.12,0.76,2.356
NGC3766,1.41,7.45,-0.85,0.29,0.899
NGC4755,1.77,7.25,0.1,0.41,1.271
Per OB2,0.37,7.18,0.23,0.27,0.837
Platais 9,0.22,7.71,0.3,0.05,0.155
Sco OB4,1.11,7.29,0.3,0.1,0.31
