cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,E_BV
Collinder 106,0.012,0.004,8.131,0.005,9.268,0.147,0.346,0.054,7.1383855360166315,0.11161290322580644
IC 2944,0.014,0.002,7.879,0.002,9.951,0.112,0.077,0.058,9.776873589674215,0.024838709677419354
IC 4756,0.018,0.004,8.637,0.384,10.465,0.022,0.096,0.124,12.387965865303691,0.03096774193548387
Lynga 2,0.016,0.001,7.042,0.024,10.480,0.019,0.283,0.071,12.473835142429433,0.09129032258064515
NGC 1817,0.013,0.001,9.445,0.086,10.488,0.010,0.071,0.039,12.519875206248813,0.02290322580645161
NGC 1960,0.019,0.001,7.927,0.057,10.242,0.046,0.448,0.140,11.178923907117449,0.14451612903225805
NGC 2099,0.014,0.001,8.895,0.011,10.493,0.008,0.571,0.029,12.548736499304812,0.18419354838709676
NGC 2158,0.012,0.001,9.135,0.032,10.495,0.004,0.017,0.018,12.560299636948741,0.005483870967741936
NGC 2264,0.014,0.002,8.127,0.983,7.401,0.711,0.140,0.108,3.021342779843297,0.04516129032258065
NGC 2345,0.011,0.001,9.282,0.030,10.491,0.011,0.239,0.034,12.537184006801198,0.07709677419354838
NGC 6025,0.011,0.001,8.134,0.607,10.489,0.020,0.033,0.041,12.525642149637898,0.01064516129032258
NGC 6475,0.019,0.001,8.666,0.008,9.497,0.060,1.858,0.120,7.93231587424496,0.5993548387096774
Collinder 110,0.013,0.001,8.644,0.005,10.489,0.010,0.050,0.038,12.525642149637898,0.016129032258064516
IC 1805,0.016,0.001,9.283,0.056,9.338,0.046,0.512,0.125,7.372249081043358,0.16516129032258065
IC 4499,0.013,0.001,8.645,0.064,10.480,0.017,0.053,0.036,12.473835142429433,0.017096774193548388
IC 4651,0.019,0.001,9.272,0.007,9.889,0.023,0.323,0.009,9.501671247555645,0.10419354838709677
IC 5146,0.014,0.001,9.352,0.018,7.673,0.123,1.882,0.195,3.424522310891518,0.6070967741935483
M45,0.015,0.003,8.145,0.710,9.044,1.038,0.974,0.515,6.438726829014613,0.31419354838709673
NGC 104,0.016,0.001,9.391,0.007,10.219,0.122,0.851,0.013,11.06114282218078,0.274516129032258
NGC 1245,0.011,0.000,9.001,0.261,10.485,0.008,0.022,0.011,12.5025903021772,0.007096774193548387
NGC 1528,0.014,0.002,8.549,0.136,10.232,0.112,1.028,0.152,11.127561417305195,0.33161290322580644
NGC 1746,0.011,0.001,7.812,0.004,9.781,0.035,1.492,0.025,9.040657155196582,0.48129032258064514
NGC 188,0.011,0.001,9.479,0.083,10.493,0.006,0.022,0.014,12.548736499304812,0.007096774193548387
NGC 1912,0.014,0.001,8.769,0.010,10.226,0.014,0.728,0.017,11.096857267741246,0.23483870967741935
NGC 1931,0.014,0.001,7.881,0.005,10.204,0.049,1.475,0.119,10.98499845058376,0.47580645161290325
NGC 2168,0.011,0.002,7.802,0.004,9.962,0.036,0.949,0.033,9.826525828295317,0.3061290322580645
NGC 2269,0.011,0.001,9.250,0.056,10.488,0.010,0.012,0.010,12.519875206248813,0.003870967741935484
NGC 2298,0.011,0.001,9.329,0.258,10.484,0.018,0.028,0.054,12.496833972112192,0.009032258064516128
NGC 2323,0.016,0.002,8.252,0.212,10.037,0.085,0.770,0.069,10.17185123683215,0.24838709677419354
NGC 2360,0.011,0.001,9.131,0.005,10.216,0.023,0.299,0.031,11.045871839886296,0.0964516129032258
NGC 2422,0.013,0.002,8.411,0.446,10.490,0.012,0.013,0.016,12.531411749414161,0.004193548387096774
NGC 2447,0.014,0.003,8.491,0.630,8.928,0.981,0.973,0.601,6.10379585558531,0.31387096774193546
NGC 2453,0.012,0.001,9.202,0.154,10.490,0.010,0.014,0.012,12.531411749414161,0.004516129032258064
NGC 2509,0.012,0.002,8.987,0.317,10.492,0.007,0.006,0.014,12.542958923023187,0.001935483870967742
NGC 2516,0.011,0.001,7.980,0.033,8.208,0.045,0.467,0.045,4.381269820224931,0.15064516129032257
NGC 2546,0.011,0.001,8.647,0.008,10.482,0.018,0.028,0.033,12.485329261594941,0.009032258064516128
NGC 2632,0.019,0.001,8.196,0.015,10.483,0.011,1.105,0.020,12.491080292324847,0.3564516129032258
NGC 2682,0.018,0.004,9.378,0.009,9.915,0.131,0.135,0.040,9.616122783836644,0.043548387096774194
NGC 3766,0.012,0.002,8.748,0.108,10.489,0.016,0.009,0.026,12.525642149637898,0.0029032258064516127
NGC 4755,0.019,0.001,8.896,0.007,10.451,0.026,0.016,0.026,12.308354609940128,0.005161290322580645
NGC 5634,0.011,0.002,8.749,0.075,10.486,0.018,0.033,0.022,12.508349283740658,0.01064516129032258
NGC 5822,0.011,0.001,8.165,0.008,10.476,0.019,0.093,0.045,12.450878639160544,0.03
NGC 6139,0.012,0.001,8.611,0.110,10.484,0.019,0.015,0.024,12.496833972112192,0.004838709677419354
NGC 6229,0.011,0.001,9.497,0.007,10.486,0.017,0.044,0.038,12.508349283740658,0.014193548387096773
NGC 6231,0.011,0.001,7.877,0.002,9.043,0.043,0.150,0.040,6.435762368376419,0.04838709677419355
NGC 6235,0.014,0.001,8.636,0.007,10.486,0.015,0.069,0.066,12.508349283740658,0.022258064516129033
NGC 6242,0.014,0.001,8.343,0.007,10.284,0.018,1.160,0.017,11.397248040197493,0.37419354838709673
NGC 6325,0.014,0.001,9.339,0.058,10.457,0.028,0.017,0.018,12.342410879360521,0.005483870967741936
NGC 6352,0.019,0.001,9.447,0.014,10.457,0.033,1.525,0.029,12.342410879360521,0.4919354838709677
NGC 6401,0.014,0.001,8.637,0.006,10.430,0.038,1.879,0.078,12.189895989248662,0.6061290322580645
NGC 6440,0.014,0.001,9.382,0.041,7.669,0.070,0.018,0.021,3.418219914176576,0.005806451612903225
NGC 6441,0.018,0.001,8.634,0.004,10.390,0.041,0.270,0.094,11.967405313072437,0.08709677419354839
NGC 6496,0.011,0.001,9.205,0.015,10.483,0.013,1.114,0.047,12.491080292324847,0.35935483870967744
NGC 6583,0.012,0.001,9.482,0.013,10.473,0.021,0.998,0.023,12.433688991553053,0.3219354838709677
NGC 6717,0.012,0.001,9.263,0.316,10.490,0.012,0.064,0.035,12.531411749414161,0.02064516129032258
NGC 6939,0.011,0.001,9.494,0.011,10.495,0.012,0.670,0.060,12.560299636948741,0.2161290322580645
NGC 7082,0.014,0.001,8.291,0.027,10.491,0.008,0.323,0.031,12.537184006801198,0.10419354838709677
NGC 7243,0.012,0.001,8.927,0.063,10.473,0.040,0.249,0.072,12.433688991553053,0.08032258064516129
NGC 7492,0.014,0.001,8.655,0.108,10.480,0.017,0.049,0.058,12.473835142429433,0.015806451612903227
NGC 7654,0.011,0.001,8.720,0.029,10.492,0.009,1.420,0.086,12.542958923023187,0.4580645161290322
NGC 7789,0.011,0.001,9.495,0.010,10.492,0.006,0.427,0.050,12.542958923023187,0.13774193548387095
NGC 869,0.012,0.001,9.239,0.058,10.117,0.039,0.078,0.046,10.553584699686954,0.025161290322580646
NGC 957,0.016,0.002,9.118,0.074,10.388,0.040,0.717,0.027,11.956387999881212,0.23129032258064514
NGC3766,0.011,0.001,8.754,0.088,10.485,0.018,0.011,0.008,12.5025903021772,0.0035483870967741933
NGC4755,0.015,0.002,8.620,0.137,10.457,0.039,0.164,0.140,12.342410879360521,0.05290322580645161
Per OB2,0.015,0.003,8.060,0.718,8.924,0.927,0.997,0.615,6.09256259749656,0.32161290322580643
Platais 9,0.012,0.001,9.289,0.014,10.486,0.012,0.455,0.024,12.508349283740658,0.1467741935483871
Sco OB4,0.014,0.001,9.371,0.003,8.832,0.036,0.040,0.021,5.839827246189305,0.012903225806451613
